1	45.93	27.97
2	45.9	27.95
3	45.9	27.96
4	45.93	27.95
5	45.93	27.97
6	45.9	27.98
7	45.9	27.95
8	45.97	27.94
9	46	27.92
10	46.1	27.92
11	46.1	27.9
12	46.2	27.89
13	46.26	27.88
14	46.3	27.88
15	46.23	27.87
16	46.16	27.87
17	46.13	27.85
18	46.1	27.86
19	46.1	27.86
20	46.07	27.84
21	46.1	27.87
22	46.03	27.87
23	46.03	27.85
24	46.03	27.86
25	46.03	27.85
26	46.03	27.84
27	46.03	27.82
28	46.1	27.82
29	46.1	27.83
30	46.1	27.84
31	46.1	27.83
32	46.07	27.83
33	46.07	27.83
34	46.1	27.83
35	46.1	27.83
36	46.03	27.83
37	46	27.83
38	45.97	27.82
39	45.93	27.81
40	45.9	27.8
41	45.87	27.82
42	45.9	27.82
43	45.9	27.8
44	45.9	27.81
45	45.93	27.78
46	45.97	27.78
47	45.97	27.81
48	45.97	27.8
49	45.97	27.81
50	46	27.8
51	45.97	27.79
52	45.97	27.77
53	46	27.76
54	45.97	27.76
55	46	27.76
56	46	27.76
57	46.03	27.75
58	45.97	27.72
59	46	27.72
60	46	27.72
61	46	27.71
62	45.97	27.69
63	45.97	27.71
64	46	27.72
65	45.97	27.72
66	45.97	27.71
67	45.93	27.71
68	45.93	27.7
69	45.9	27.71
70	45.9	27.69
71	45.9	27.7
72	45.9	27.67
73	45.9	27.67
74	45.93	27.66
75	45.9	27.67
76	45.9	27.66
77	45.93	27.66
78	45.93	27.68
79	46	27.67
80	45.97	27.67
81	45.93	27.65
82	45.93	27.67
83	45.93	27.66
84	45.9	27.66
85	45.9	27.64
86	45.87	27.65
87	45.84	27.66
88	45.84	27.65
89	45.84	27.66
90	45.87	27.63
91	45.84	27.64
92	45.84	27.6
93	45.9	27.59
94	45.97	27.57
95	45.97	27.59
96	45.93	27.59
97	45.97	27.58
98	45.97	27.59
99	45.93	27.59
100	45.9	27.58
101	45.93	27.56
102	45.97	27.57
103	45.93	27.56
104	45.9	27.57
105	45.9	27.55
106	45.9	27.55
107	45.9	27.55
108	45.9	27.58
109	45.9	27.57
110	45.87	27.59
111	45.84	27.61
112	45.84	27.6
113	45.87	27.59
114	45.9	27.58
115	46.03	27.59
116	46.26	27.57
117	46.52	27.58
118	46.75	27.56
119	47.08	27.55
120	47.28	27.55
121	47.28	27.54
122	47.31	27.55
123	47.28	27.55
124	47.34	27.54
125	47.38	27.56
126	47.41	27.59
127	47.41	27.6
128	47.47	27.61
129	47.47	27.61
130	47.47	27.61
131	47.47	27.64
132	47.41	27.64
133	47.38	27.65
134	47.34	27.65
135	47.28	27.67
136	47.24	27.69
137	47.18	27.72
138	47.15	27.72
139	47.15	27.73
140	47.15	27.74
141	47.08	27.76
142	47.05	27.77
143	47.02	27.79
144	46.95	27.79
145	46.95	27.8
146	46.92	27.81
147	46.89	27.82
148	46.85	27.84
